"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"ml:Data_Set:1                      ","Class","Data_Set","1.0.0.0","ml","The Data_Set class is the container for classes and attributes describing the provenance, size and processing details of data sets used by the machine learning model.","img","","","","","","","","","","",""
"ml:Data_Set:2                       ml:data_set_version_id:1           ","Attribute","data_set_version_id","n/a","ml","The data_set_version_id attribute specifies the data set version number.","img","ASCII_VID","1","1","Unbounded","Unbounded","3","100","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"ml:Data_Set:2                       ml:data_set_size:1                 ","Attribute","data_set_size","n/a","ml","The data_set_size attribute provides the number of items in the data set.","img","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"ml:Training_Set:1                  ","Class","Training_Set","1.0.0.0","ml","The Training_Set class belongs to the Data_Set class family and contains attributes that describe the provenance, size, and processing details for the machine learning model training set.","img","","","","","","","","","","",""
"ml:Training_Set:2                   ml:data_set_version_id:1           ","Attribute","data_set_version_id","n/a","ml","The data_set_version_id attribute specifies the data set version number.","img","ASCII_VID","1","1","Unbounded","Unbounded","3","100","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"ml:Training_Set:2                   ml:data_set_size:1                 ","Attribute","data_set_size","n/a","ml","The data_set_size attribute provides the number of items in the data set.","img","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"ml:Validation_Set:1                ","Class","Validation_Set","1.0.0.0","ml","The Validation_Set class belongs to the Data_Set class family and contains attributes that describe the provenance, size, and processing details for the machine learning model validation set. ","img","","","","","","","","","","",""
"ml:Validation_Set:2                 ml:data_set_version_id:1           ","Attribute","data_set_version_id","n/a","ml","The data_set_version_id attribute specifies the data set version number.","img","ASCII_VID","1","1","Unbounded","Unbounded","3","100","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"ml:Validation_Set:2                 ml:data_set_size:1                 ","Attribute","data_set_size","n/a","ml","The data_set_size attribute provides the number of items in the data set.","img","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"ml:Test_Set:1                      ","Class","Test_Set","1.0.0.0","ml","The Test_Set class belongs to the Data_Set class family and contains attributes describing the provenance, size, and processing details for the machine learning model test set.","img","","","","","","","","","","",""
"ml:Test_Set:2                       ml:data_set_version_id:1           ","Attribute","data_set_version_id","n/a","ml","The data_set_version_id attribute specifies the data set version number.","img","ASCII_VID","1","1","Unbounded","Unbounded","3","100","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"ml:Test_Set:2                       ml:data_set_size:1                 ","Attribute","data_set_size","n/a","ml","The data_set_size attribute provides the number of items in the data set.","img","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"ml:Test_Performance:1              ","Class","Test_Performance","1.0.0.0","ml","The Test_Performance class contains information about a trained model's performance on the test set.","img","","","","","","","","","","",""
"ml:Test_Performance:2               ml:performance_measure:1           ","Attribute","performance_measure","n/a","ml","The performance_measure attribute specifies the name of the measure (or metric) used to report performance of the model on the test set.","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"ml:Test_Performance:2               ml:performance_score:1             ","Attribute","performance_score","n/a","ml","The performance_score attribute reports the numeric score the model achieved using performance_measure on the test set.","img","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"ml:Trained_Machine_Learning_Model:1","Class","Trained_Machine_Learning_Model","1.0.0.0","ml","The Trained_Machine_Learning_Model class is a container for classes and and attributes describing the various parameters specified to the Machine Learning Algorithm.","img","","","","","","","","","","",""
"ml:Trained_Machine_Learning_Model:2 ml:trained_model_version_id:1      ","Attribute","trained_model_version_id","n/a","ml","The trained_model_version_id attribute specifies the trained model version number.","img","ASCII_VID","1","1","Unbounded","Unbounded","3","100","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"ml:Trained_Machine_Learning_Model:2 ml:trained_model_name:1            ","Attribute","trained_model_name","n/a","ml","The trained_model_name attribute specifies the name of the model used.","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"ml:Machine_Learning_Algorithm:1    ","Class","Machine_Learning_Algorithm","1.0.0.0","ml","The Machine_Learning_Algorithm class is a container for classes and and attributes describing the algorithm type and learning style used.","img","","","","","","","","","","",""
"ml:Machine_Learning_Algorithm:2     ml:algorithm_learning_style:1      ","Attribute","algorithm_learning_style","n/a","ml","The algorithm_learning_style attribute describes the type of learning style adopted by the algorithm to model a problem.","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
